Filename,TL,DSB_Updated
2020.02.19.06.02,4.98,12.45
2020.02.19.08.02,6.23,69.82
2020.02.23.25.02,5.6,54.34
2020.02.24.26.02,5.59,41.41
2020.02.24.27.02,4.44,10.61
2020.02.25.28.02,6.13,44.56
2021.02.15.157.02,6.41,74.22
2021.02.15.162.02,4.98,37.46
2021.02.16.177.02,5.22,18.36
2021.02.20.218.02,4.76,19.26
2022.02.01.03.02,4.59,1.16
2022.02.01.05.02,5.49,21.37
2022.02.01.07.02,5.56,14.42
2022.02.01.011.04,5.12,24.54
2022.02.02.17.02,5.31,16.85
2022.02.02.21.02,4.52,13.1
2022.02.04.42.02,4.99,21.27
2022.02.04.48.02,6.09,52.37
2022.02.07.75.02,5.19,11.11
2022.02.07.76.03,5.11,17.18
2022.02.07.78.02,5.25,18.19
2022.02.08.87.02,5.54,50.37
2022.02.08.87.04,5.63,31.24
